date,location_key,cumulative_hospitalized_patients
2020-07-01,HK,1226.0
2020-07-02,HK,1235.0
2020-07-03,HK,1240.0
2020-07-04,HK,1251.0
2020-07-05,HK,1261.0
2020-07-06,HK,1278.0
2020-07-07,HK,1292.0
2020-07-08,HK,1315.0
2020-07-09,HK,1350.0
2020-07-10,HK,1385.0
2020-07-11,HK,1410.0
2020-07-12,HK,1447.0
2020-07-13,HK,1495.0
2020-07-14,HK,1541.0
2020-07-15,HK,1560.0
2020-07-16,HK,1624.0
2020-07-17,HK,1679.0
2020-07-18,HK,1740.0
2020-07-19,HK,1845.0
2020-07-20,HK,1914.0
2020-07-21,HK,1973.0
2020-07-22,HK,2080.0
2020-07-23,HK,2196.0
2020-07-24,HK,2315.0
2020-07-25,HK,2442.0
2020-07-26,HK,2566.0
2020-07-27,HK,2704.0
2020-07-28,HK,2803.0
2020-07-29,HK,2907.0
2020-07-30,HK,3054.0
2020-07-31,HK,3172.0
2020-08-01,HK,3294.0
2020-08-02,HK,3406.0
2020-08-03,HK,3484.0
2020-08-04,HK,3561.0
2020-08-05,HK,3643.0
2020-08-06,HK,3736.0
2020-08-07,HK,3825.0
2020-08-08,HK,3893.0
2020-08-09,HK,3964.0
2020-08-10,HK,4029.0
2020-08-11,HK,4062.0
2020-08-12,HK,4123.0
2020-08-13,HK,4190.0
2020-08-14,HK,4238.0
2020-08-15,HK,4282.0
2020-08-16,HK,4355.0
2020-08-17,HK,4399.0
2020-08-18,HK,4434.0
2020-08-19,HK,4459.0
2020-08-20,HK,4477.0
2020-08-21,HK,4503.0
2020-08-22,HK,4529.0
2020-08-23,HK,4554.0
2020-08-24,HK,4563.0
2020-08-25,HK,4582.0
2020-08-26,HK,4604.0
2020-08-27,HK,4625.0
2020-08-28,HK,4636.0
2020-08-29,HK,4653.0
2020-08-30,HK,4668.0
2020-08-31,HK,4677.0
2020-09-01,HK,4689.0
2020-09-02,HK,4696.0
2020-09-03,HK,4702.0
2020-09-04,HK,4714.0
2020-09-05,HK,4721.0
2020-09-06,HK,4742.0
2020-09-07,HK,4753.0
2020-09-08,HK,4759.0
2020-09-09,HK,4765.0
2020-09-10,HK,4777.0
2020-09-11,HK,4789.0
2020-09-12,HK,4801.0
2020-09-13,HK,4820.0
2020-09-14,HK,4834.0
2020-09-15,HK,4838.0
2020-09-16,HK,4847.0
2020-09-17,HK,4856.0
2020-09-18,HK,4859.0
2020-09-19,HK,4872.0
2020-09-20,HK,4895.0
2020-09-21,HK,4901.0
2020-09-22,HK,4909.0
2020-09-23,HK,4912.0
2020-09-24,HK,4919.0
2020-09-25,HK,4921.0
2020-09-26,HK,4922.0
2020-09-27,HK,4928.0
2020-09-28,HK,4938.0
2020-09-29,HK,4942.0
2020-09-30,HK,4950.0
2020-10-01,HK,4960.0
2020-10-02,HK,4967.0
2020-10-03,HK,4971.0
2020-10-04,HK,4975.0
2020-10-05,HK,4986.0
2020-10-06,HK,4994.0
2020-10-07,HK,5005.0
2020-10-08,HK,5023.0
2020-10-09,HK,5031.0
2020-10-10,HK,5037.0
2020-10-11,HK,5044.0
2020-10-12,HK,5055.0
2020-10-13,HK,5063.0
2020-10-15,HK,5075.0
2020-10-16,HK,5082.0
2020-10-17,HK,5099.0
2020-10-18,HK,5103.0
2020-10-19,HK,5117.0
2020-10-20,HK,5122.0
2020-10-21,HK,5129.0
2020-10-22,HK,5140.0
2020-10-23,HK,5144.0
2020-10-24,HK,5149.0
2020-10-25,HK,5155.0
2020-10-26,HK,5163.0
2020-10-27,HK,5168.0
2020-10-28,HK,5170.0
2020-10-29,HK,5173.0
2020-10-30,HK,5180.0
2020-10-31,HK,5183.0
2020-11-01,HK,5190.0
